Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip2---cacheline_size=16	2.185445	0.022838	0.000094	0.681128
specbzip2-default	1.887779	0.016934	0.000083	0.519738
specbzip2---cacheline_size=64	1.696440	0.013331	0.000070	0.361079
specbzip2---l1d_assoc=1	1.929102	0.020904	0.000083	0.409160
specbzip2---l1d_assoc=2	1.902270	0.018284	0.000083	0.475741
specbzip2-default	1.887779	0.016934	0.000083	0.519738
specbzip2---l1d_assoc=8	1.881440	0.016382	0.000083	0.540121
specbzip2---l1d_size=32kB	1.913114	0.019644	0.000083	0.438237
specbzip2-default	1.887779	0.016934	0.000083	0.519738
specbzip2---l1d_size=128kB	1.868755	0.014952	0.000083	0.601455
specbzip2---l1i_assoc=1	1.887681	0.016934	0.000085	0.519742
specbzip2---l1i_assoc=2	1.887825	0.016934	0.000083	0.519742
specbzip2-default	1.887779	0.016934	0.000083	0.519738
specbzip2---l1i_assoc=8	1.887779	0.016934	0.000083	0.519738
specbzip2---l1i_size=32kB	1.887623	0.016934	0.000083	0.519778
specbzip2---l1i_size=64kB	1.887779	0.016934	0.000083	0.519740
specbzip2-default	1.887779	0.016934	0.000083	0.519738
specbzip2---l2_assoc=1	1.928513	0.016917	0.000083	0.563669
specbzip2---l2_assoc=2	1.891350	0.016932	0.000083	0.525644
specbzip2-default	1.887779	0.016934	0.000083	0.519738
specbzip2---l2_assoc=8	1.888291	0.016935	0.000083	0.518237
specbzip2---l2_size=512kB	1.947298	0.016924	0.000083	0.585745
specbzip2-default	1.887779	0.016934	0.000083	0.519738
specbzip2---l2_size=2MB	1.834693	0.016930	0.000083	0.465357
specbzip2---l2_size=4MB	1.793727	0.016925	0.000083	0.420221
spechmmer---cacheline_size=16	1.219076	0.005920	0.000141	0.080998
spechmmer-default	1.196560	0.003024	0.000109	0.082494
spechmmer---cacheline_size=64	1.187471	0.001587	0.000078	0.083361
spechmmer---l1d_assoc=1	1.214148	0.004365	0.000109	0.056779
spechmmer---l1d_assoc=2	1.196780	0.003134	0.000109	0.079433
spechmmer-default	1.196560	0.003024	0.000109	0.082494
spechmmer---l1d_assoc=8	1.196474	0.003103	0.000109	0.080329
spechmmer---l1d_size=32kB	1.198680	0.003918	0.000109	0.062932
spechmmer-default	1.196560	0.003024	0.000109	0.082494
spechmmer---l1d_size=128kB	1.192247	0.001235	0.000109	0.212964
spechmmer---l1i_assoc=1	1.197588	0.003025	0.000401	0.078762
spechmmer---l1i_assoc=2	1.196504	0.003024	0.000110	0.082477
spechmmer-default	1.196560	0.003024	0.000109	0.082494
spechmmer---l1i_assoc=8	1.196515	0.003024	0.000109	0.082486
spechmmer---l1i_size=32kB	1.196548	0.003025	0.000123	0.082245
spechmmer---l1i_size=64kB	1.196482	0.003025	0.000112	0.082392
spechmmer-default	1.196560	0.003024	0.000109	0.082494
spechmmer---l2_assoc=1	1.196510	0.003024	0.000109	0.082492
spechmmer---l2_assoc=2	1.196492	0.003025	0.000109	0.082489
spechmmer-default	1.196560	0.003024	0.000109	0.082494
spechmmer---l2_assoc=8	1.196567	0.003025	0.000109	0.082494
spechmmer---l2_size=512kB	1.196532	0.003025	0.000109	0.082490
spechmmer-default	1.196560	0.003024	0.000109	0.082494
spechmmer---l2_size=2MB	1.196489	0.003025	0.000109	0.082490
spechmmer---l2_size=4MB	1.196488	0.003025	0.000109	0.082482
speclbm---cacheline_size=16	9.803951	0.243876	0.000074	0.999996
speclbm-default	5.610181	0.121937	0.000081	0.999993
speclbm---cacheline_size=64	3.495101	0.060970	0.000085	0.999982
speclbm---l1d_assoc=1	5.613173	0.122174	0.000081	0.997070
speclbm---l1d_assoc=2	5.610160	0.121936	0.000081	0.999993
speclbm-default	5.610181	0.121937	0.000081	0.999993
speclbm---l1d_assoc=8	5.610223	0.121938	0.000081	0.999993
speclbm---l1d_size=32kB	5.610197	0.121937	0.000081	0.999993
speclbm-default	5.610181	0.121937	0.000081	0.999993
